Year,Team cat,place,Name,Nameabb,Point
2012,USMS Club,1,Maine Masters Swim Club ,MESC-NE,5578.5
2012,USMS Club,2,Bearcat Masters,BCTM-MR,2641.5
2012,USMS Club,3,Great Bay Masters,GBM-NE,2318.5
2012,USMS Club,4,Westchester Masters,WM-MR,1050
2012,USMS Club,5,Connecticut Masters,CONN-CT,478.5
2012,USMS Club,6,Adirondack Masters,ADMS-AD,466
2012,USMS Club,7,Asphalt Green Masters,AGUA-MR,383
2012,USMS Club,8,MOVY Masters,MOVY-MV,164
2012,USMS Club,9,Tribeach,TBH-CT,154.5
2012,USMS Club,10,Post Swimming,POST-MR,137
2012,USMS Club,11,Hoboken Masters,HOBO-NJ,134
2012,USMS Club,12,Atlanta Water Jocks,AWJ-GA,115
2012,USMS Club,13,Sarasota YMCA Sharks,SYSM-FL,107
2012,USMS Club,14,Virginia Masters Swim Team,VMST-VA,42
2012,USMS Club,15,TANK Club,TANK-IL,41
2012,USMS Club,16,Simon's Rock Pace Makers,SRPM-NE,35
2012,USMS Club,17,San Diego Swim Masters,SDSM-SI,34
2012,USMS Club,18,Badger Masters,BDGR-MR,31
2012,USMS Club,19,West Hartford Masters,WHAT-CT,29
2012,USMS Club,20,West Side Swim Club,WSSC-NE,28
2012,USMS Club,21,Strawberry Canyon Aquatics,SCAM-PC,21
2012,USMS Club,22,Burlingame Aquatic Club,BAC-PC,12
2012,USMS Club,23,Alexandria Masters Swimming,ALEX-PV,10
2012,USMS Club,23,Wellesley Masters Swimming,WELL-NE,10
2012,Large Team,1,Cambridge Masters Swim Club,CMSC-NE,6822.5
2012,Large Team,2,Minuteman Andover Masters Asso,MAMA-NE,4468
2012,Large Team,3,Swim Rhode Island,SWMR-NE,2422
2012,Large Team,4,Liquid Assets New England Swim,LANE-NE,1969.5
2012,Large Team,5,ABC Masters - Gray Sharks,ABC-NE,1817
2012,Large Team,6,YMCA of the North Shore,YNS-NE,1542
2012,Medium Team,1,South County YMCA,SCY-NE,2621.5
2012,Medium Team,2,Greenwood Masters,GWDM-NE,2072
2012,Medium Team,3,Granite State Penguins,GSP-NE,1557
2012,Medium Team,4,Boston University Masters,BUMS-NE,1351
2012,Medium Team,5,Cape Cod Masters,CCM-NE,1178
2012,Medium Team,6,Technique and Training,TNT-NE,853.5
2012,Medium Team,7,North Suburban YMCA Masters,NSY-NE,648
2012,Medium Team,8,University Club of Boston,UCLB-NE,453.5
2012,Small Team,1,Worcester Area Masters,WAM-NE,657
2012,Small Team,2,Pittsfield YMCA Polar Bears,PITY-NE,551
2012,Small Team,3,Weymouth Club Masters Swimm,WCMS-NE,468
2012,Small Team,4,MIT Masters,MIT-NE,405
2012,Small Team,5,UV Rays,UVRA-NE,368
2012,Small Team,6,Western Mass Waterhorses,WMW-NE,352
2012,Small Team,7,Simmons Masters,SIMM-NE,344
2012,Small Team,8,Adirondack Aquatic Club Mas,AAC-NE,289
2012,Small Team,9,Martha's Vineyard Masters,MVM-NE,243
2012,Small Team,10,Wayland Community Pool Mast,WCPM-NE,167
2012,Small Team,11,Greater Boston YMCA Masters,BOSY-NE,113
2012,Small Team,12,Kingsbury Club Masters,KING-NE,82
2012,Squad,1,East Lyme Masters,ELM-NE,233
2012,Squad,2,Middlebury Muffintops,MUFF-NE,174
2012,Squad,3,Hockomock Masters,HOCK-NE,127
2012,Squad,4,Westboro Tennis & Swim,WTS-NE,122
2012,Squad,5,Bennington Area Masters,BAM-NE,120
2012,Squad,6,Boston College Masters,BC-NE,110
2012,Squad,7,Bluefish Swim Club,ABF-NE,98
2012,Squad,8,BSC Wellesley,BSCW-NE,92
2012,Squad,9,Tri YMCA,TRIY-NE,70
2012,Squad,10,Southern Vermont Stingrays,SVTS-NE,68
2012,Squad,11,UMASS Aquatic Masters,UMAS-NE,57
2012,Squad,12,JCC Newton Masters,JCCN-NE,32
